"qes_year","qes_code","qes_name_en","age_group","turnout","vote_choice","sovereignty_support"
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Did not vote / None",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",0,"PQ",1
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","18-24",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"Other party",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","18-24",1,"Don't know / Refused",
